date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:43	179/179	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sun,%2009%20Feb%202025%2008:54:43%20GMT	https://www.robloxac.pro/robots.txt		(from )
12:54:43	20943/20943	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202025%2008:54:44%20GMT	https://www.robloxac.pro/	D:/downloads/Anti/www.robloxac.pro/index.html	(from )
12:54:44	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2009%20Feb%202025%2008:54:45%20GMT	https://i.imgur.com/hkbDxEe.png	D:/downloads/Anti/i.imgur.com/hkbDxEe.0.delayed	(from https://www.robloxac.pro/)
12:54:44	0/-1	---M--	302	error ('')			https://i.imgur.com/hkbDxEe.png	D:/downloads/Anti/i.imgur.com/hkbDxEe.1.delayed	(from https://www.robloxac.pro/)
12:54:44	220853/220853	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Feb%202025%2008:54:45%20GMT	https://raw.githubusercontent.com/acsu123/AHAX/main/AHAX_LOGO.png	D:/downloads/Anti/raw.githubusercontent.com/acsu123/AHAX/main/AHAX_LOGO.png	(from https://www.robloxac.pro/)
12:54:46	89220/89220	---M-Z	200	added ('OK')	text/css	etag:%22620188b3-468e%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	D:/downloads/Anti/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	(from https://www.robloxac.pro/)
12:54:46	671/671	---M--	200	added ('OK')	image/png	etag:%22v16d2%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjac-SGqqBNOf8R-yQBGf8rXc_3Mko7Jk_Vf-3mtmVeE3EiU4oaRG-3lS1CqQ5XgWXpBspTaSriDXGF73L3m9V0c0K07iDq1r7XyLXpsEqU3VF2O6mT-gZkqsJimuxi8gLvOQtxhGXx8Y9a/s0/mouse-f1.png	D:/downloads/Anti/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjac-SGqqBNOf8R-yQBGf8rXc_3Mko7Jk_Vf-3mtmVeE3EiU4oaRG-3lS1CqQ5XgWXpBspTaSriDXGF73L3m9V0c0K07iDq1r7XyLXpsEqU3VF2O6mT-gZkqsJimuxi8gLvOQtxhGXx8Y9a/s0/mouse-f1.png	(from https://www.robloxac.pro/)
12:54:47	1603/1603	---M--	200	added ('OK')	image/png	etag:%22v16d2%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjITCvg05WrPmBtw3wfCNDButQe1JVWYCtbJ07WNQ1Q_72Sf0PTOXRzt9H8OqryPkJrC7GmiHUJ0CwHje_VLV2Trr9cumn0Y6eMcFL77Z9fm4G4I3ZwLHu8I8kDUy9rkXjzH_v49SscqVYT/s0/mouse-f2.png	D:/downloads/Anti/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjITCvg05WrPmBtw3wfCNDButQe1JVWYCtbJ07WNQ1Q_72Sf0PTOXRzt9H8OqryPkJrC7GmiHUJ0CwHje_VLV2Trr9cumn0Y6eMcFL77Z9fm4G4I3ZwLHu8I8kDUy9rkXjzH_v49SscqVYT/s0/mouse-f2.png	(from https://www.robloxac.pro/)
12:54:48	8301/8301	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202025%2008:54:48%20GMT	https://www.robloxac.pro/dashboard	D:/downloads/Anti/www.robloxac.pro/dashboard.html	(from https://www.robloxac.pro/)
12:54:49	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2009%20Feb%202025%2008:54:49%20GMT	https://www.robloxac.pro/cdn-cgi/challenge-platform/scripts/jsd/main.js	D:/downloads/Anti/www.robloxac.pro/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://www.robloxac.pro/)
12:54:49	138644/138644	---M--	200	added ('OK')	image/png	etag:e012918ccf08170ad1f78938fdb1dcfe	https://upload.wikimedia.org/wikipedia/commons/4/48/Roblox_Logo_2021.png	D:/downloads/Anti/upload.wikimedia.org/wikipedia/commons/4/48/Roblox_Logo_2021.png	(from https://www.robloxac.pro/)
12:54:49	0/-1	---M--	302	error ('')			https://i.imgur.com/hkbDxEe.png	D:/downloads/Anti/i.imgur.com/hkbDxEe.a.delayed	(from https://www.robloxac.pro/dashboard)
12:54:49	0/-1	---M--	302	error ('')			https://i.imgur.com/hkbDxEe.png	D:/downloads/Anti/i.imgur.com/hkbDxEe.b.delayed	(from https://www.robloxac.pro/dashboard)
12:54:49	8402/8402	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2009%20Feb%202025%2008:54:50%20GMT	https://www.robloxac.pro/cdn-cgi/challenge-platform/h/g/scripts/jsd/8a57887573f2/main.js?	D:/downloads/Anti/www.robloxac.pro/cdn-cgi/challenge-platform/h/g/scripts/jsd/8a57887573f2/maind41d.js	(from https://www.robloxac.pro/)
